time [days],flux [fnu],noisy_flux [fnu],error [fnu],flux [mag],noisy_flux [mag],error [mag]
0.0,4.147843378638911e-28,4.121051614640563e-28,2.679176399834885e-30,19.85544412701719,19.839296118550717,0.01614800846647469
1.0,4.162279826583432e-28,4.12483524254403e-28,3.7444584039401155e-30,19.851671814722366,19.829181385438723,0.022490429283641648
2.0,4.176604908206122e-28,4.126543025769766e-28,5.006188243635559e-30,19.847941513717366,19.817975857678178,0.02996565603918799
3.0,4.187432947311013e-28,4.21007070904618e-28,2.2637761735167948e-30,19.845130335467427,19.858645633515188,0.013515298047760343
4.0,4.193964033542307e-28,4.209526211456522e-28,1.5562177914215246e-30,19.843438245657303,19.85271477842544,0.00927653276813578
5.0,4.197813697044515e-28,4.201326131970678e-28,3.512434926162565e-31,19.842442099317896,19.844533923288452,0.0020918239705560934
6.0,4.200601459193029e-28,4.145686025316496e-28,5.491543387653341e-30,19.841721302750987,19.809038224857254,0.03268307789373282
7.0,4.202742194131843e-28,4.131179495979398e-28,7.156269815244545e-30,19.841168124498612,19.798599073836662,0.04256905066195006
8.0,4.202535426030152e-28,4.169818366552107e-28,3.271705947804573e-30,19.84122154227354,19.8217588512065,0.019462691067039555
9.0,4.198297325800838e-28,4.145758760249321e-28,5.2538565551516885e-30,19.84231701920652,19.811031380366316,0.03128563884020231
10.0,4.189279163433459e-28,4.158245127086738e-28,3.1034036346720773e-30,19.844651745850896,19.826131831603117,0.018519914247780652
11.0,4.173560221660418e-28,4.147568848720484e-28,2.5991372939933634e-30,19.84873328885232,19.833164223378528,0.01556906547378941
12.0,4.149488324402732e-28,4.179564184550287e-28,3.007586014755541e-30,19.855013632670826,19.8731338548502,0.01812022217937224
13.0,4.118618135022984e-28,4.08054850992989e-28,3.80696250930939e-30,19.863121181398263,19.840012930132282,0.02310825126598041
14.0,4.088305567917644e-28,4.004801573772851e-28,8.350399414479351e-30,19.8711416291128,19.820078913302073,0.0510627158107251
15.0,4.064816844448433e-28,4.05859003518122e-28,6.226809267213965e-31,19.877397545984994,19.873567847436757,0.003829698548237355
16.0,4.049842263590068e-28,4.0150472412611596e-28,3.479502232890862e-30,19.88140472923893,19.859925483836133,0.021479245402797394
17.0,4.042233451191783e-28,4.053770953088907e-28,1.1537501897125029e-30,19.883446520695625,19.890582119144128,0.007135598448503385
18.0,4.040703450781382e-28,4.004368026044611e-28,3.6335424736770916e-30,19.883857553684958,19.86137667555361,0.022480878131346447
19.0,4.043434408088579e-28,4.069892735985222e-28,2.645832789664277e-30,19.883123993870264,19.899482814878784,0.016358821008518726
20.0,4.046362555393363e-28,4.058264877461522e-28,1.1902322068159132e-30,19.882338017239487,19.88969173425398,0.007353717014491588
21.0,4.046145377881266e-28,3.9873969518012182e-28,5.874842608004777e-30,19.882396292743127,19.846097284308332,0.03629900843479513
22.0,4.042797680733073e-28,4.02366393862026e-28,1.9133742112813125e-30,19.88329498029169,19.87146298693966,0.011831993352029207
23.0,4.041900788325999e-28,3.9757178585761052e-28,6.618292974989383e-30,19.883535876984592,19.842600353566347,0.040935523418243205
24.0,4.048619664524661e-28,4.045913624278585e-28,2.7060402460765368e-31,19.881732549531492,19.880061584813696,0.0016709647177949021
25.0,4.0629520418144425e-28,3.984360850575443e-28,7.859119123899927e-30,19.877895759897886,19.829537330835613,0.048358429062272314
26.0,4.0771484206833235e-28,4.045216024164327e-28,3.1932396518996395e-30,19.87410869652871,19.854528592235106,0.01958010429360613
27.0,4.084016227936373e-28,4.046849996756431e-28,3.716623117994214e-30,19.87228135225541,19.84953032170997,0.022751030545440556
28.0,4.081978101568855e-28,4.150003494639747e-28,6.80253930708918e-30,19.87282332364157,19.914485350836635,0.041662027195066974
29.0,4.075087503458763e-28,4.064369653708727e-28,1.0717849750036179e-30,19.874657653284686,19.86808242653131,0.006575226753376042
30.0,4.067323771441311e-28,4.068699461008286e-28,1.375689566974788e-31,19.876728137617967,19.877573711786805,0.0008455741688393385
31.0,4.060367364846103e-28,4.0701628057958e-28,9.795440949696536e-31,19.878586678798495,19.884617808539677,0.00603112974118033
32.0,4.05412153810273e-28,4.078837553355711e-28,2.471601525298035e-30,19.880258089442894,19.89549937847474,0.015241289031844792
33.0,4.0481511965909785e-28,4.060357542099308e-28,1.2206345508329541e-30,19.881858187913924,19.889396410250214,0.007538222336290655
34.0,4.042785304054754e-28,4.0351139158645417e-28,7.671388190212023e-31,19.883298304185047,19.878554428605927,0.0047438755791198725
35.0,4.040761276988136e-28,3.986264416298916e-28,5.449686068921964e-30,19.88384201590601,19.850125064474373,0.03371695143163716
36.0,4.044565555207638e-28,4.107052460091754e-28,6.2486904884115204e-30,19.882820302625543,19.92144429328114,0.038623990655596685
37.0,4.054486375682871e-28,3.994263809105744e-28,6.022256657712728e-30,19.880160386514323,19.843027096994398,0.0371332895199237
38.0,4.069134645802907e-28,4.0005610287253693e-28,6.857361707753752e-30,19.876244848258324,19.834114504188566,0.04213034406975665
39.0,4.0872588679176095e-28,4.080000806764542e-28,7.258061153068037e-31,19.871419638074897,19.86698019504742,0.0044394430274769334
40.0,4.1074973624157735e-28,4.09963127504384e-28,7.866087371933454e-31,19.866056766925578,19.86126912698458,0.004787639940995064
41.0,4.126844333985536e-28,4.116558448748595e-28,1.0285885236940338e-30,19.860954781384187,19.854723697531426,0.006231083852759873
42.0,4.142781578760169e-28,4.120672056407387e-28,2.2109522352782095e-30,19.85676990887337,19.843427712372996,0.013342196500375793
43.0,4.154761888906968e-28,4.050939470543117e-28,1.038224183638506e-29,19.853634651900023,19.791162709379652,0.062471942520371575
44.0,4.163888250878332e-28,4.2007751218220915e-28,3.688687094375941e-30,19.851252336159114,19.87339922671026,0.0221468905511444
45.0,4.171255951988393e-28,4.134379451717709e-28,3.687650027068419e-30,19.84933290159872,19.82723134472045,0.022101556878274014
46.0,4.177116714372789e-28,4.310751614012353e-28,1.3363489963956446e-29,19.847808474453966,19.9277888226088,0.07998034815483382
47.0,4.179764630012393e-28,4.1746987185712505e-28,5.065911441142534e-31,19.847120433579665,19.844090411622947,0.0030300219567193152
48.0,4.17752666533377e-28,4.165511537087744e-28,1.2015128246026615e-30,19.847701923263045,19.840511587205032,0.007190336058014514
49.0,4.169971086131975e-28,4.172046100852169e-28,2.0750147201943875e-31,19.849667390849092,19.85091141309609,0.001244022246997851
50.0,4.156402768064987e-28,4.174264662279118e-28,1.7861894214130675e-30,19.85320593654996,19.863949538175486,0.010743601625526704
51.0,4.136214655158907e-28,4.200155300031962e-28,6.394064487305407e-30,19.858492327389243,19.89713916405263,0.038646836663387314
52.0,4.110605909001594e-28,4.104779300227645e-28,5.826608773949105e-31,19.865235394494025,19.861691750988093,0.0035436435059304325
53.0,4.083905229114587e-28,4.093186561608318e-28,9.281332493730541e-31,19.872310861706534,19.87799251442191,0.005681652715373358
54.0,4.059735048953221e-28,4.078835334084504e-28,1.910028513128389e-30,19.878755772296127,19.890517799190103,0.011762026893977224
55.0,4.039387595233954e-28,3.9958056017638726e-28,4.3581993470081436e-30,19.884211181388544,19.857238037290227,0.02697314409831798
56.0,4.023165030338397e-28,3.9258620900799602e-28,9.730294025843703e-30,19.888580380729866,19.828116206674935,0.060464174054930986
57.0,4.0111186847871956e-28,3.977149094423464e-28,3.396959036373183e-30,19.89183621877712,19.870664076394142,0.02117214238297591
58.0,4.003071829786786e-28,4.0217277588141204e-28,1.8655929027334758e-30,19.894016542473825,19.90566755063743,0.011651008163603463
59.0,3.9997813400771825e-28,3.979229771931693e-28,2.055156814548961e-30,19.894909375051068,19.88206394276483,0.012845432286239074
60.0,4.0020567231253873e-28,4.071955621680733e-28,6.989889855534507e-30,19.894291900465294,19.93795626068753,0.043664360222234584
61.0,4.0095392925988027e-28,3.963527140900548e-28,4.601215169825508e-30,19.8922638154425,19.86357463924264,0.028689176199862155
62.0,4.020915616987078e-28,4.01622224748587e-28,4.693369501208413e-31,19.88918760228463,19.88626950479871,0.0029180974859186505
63.0,4.0351286582372967e-28,3.9750202403115934e-28,6.0108417925703346e-30,19.885356533599055,19.848115826414293,0.037240707184762405
64.0,4.050889775533043e-28,4.075020280941016e-28,2.4130505407973437e-30,19.881123934455875,19.896016036404514,0.014892101948638053
65.0,4.064915491136794e-28,4.102251743875285e-28,3.733625273849129e-30,19.877371197200894,19.900333699631695,0.022962502430800745
66.0,4.074412325222168e-28,3.876717045526717e-28,1.976952796954513e-29,19.874837557689418,19.753534616359914,0.12130294132950294
67.0,4.078818786157834e-28,4.158061726168669e-28,7.92429400108348e-30,19.873663972745458,19.922233757384923,0.04856978463946426
68.0,4.079268747495288e-28,4.083799474026679e-28,4.530726531390625e-31,19.873544204647043,19.87632088277972,0.0027766781326754556
69.0,4.076870848121946e-28,4.040814166011652e-28,3.6056682110293424e-30,19.874182616044852,19.85207210319472,0.02211051285013316
70.0,4.072203934844453e-28,4.010927948001647e-28,6.127598684280599e-30,19.875426201948468,19.837807760053597,0.03761844189487195
71.0,4.064741539066034e-28,4.063495819380549e-28,1.2457196854850287e-31,19.877417660676656,19.876651486693937,0.0007661739827197358
72.0,4.053840973323864e-28,4.0705853506269505e-28,1.6744377303086472e-30,19.880333230228977,19.890659472312272,0.010326242083293453
73.0,4.03956726295429e-28,3.9835668590454646e-28,5.600040390882584e-30,19.88416289005576,19.849505462500098,0.03465742755566261
74.0,4.022150526321976e-28,4.015072198872846e-28,7.078327449130463e-31,19.88885420062881,19.884454609289048,0.004399591339762204
75.0,4.0017466451015383e-28,3.997826968931415e-28,3.9196761701230984e-31,19.894376026204387,19.8919272978629,0.0024487283414862727
