time [days],normalised_flux [arbitary unit],noisy_flux [arbitary unit],error [arbitary unit]
0,0.7415530152616658,0.751513500065708,0.009960484804042175
1,0.7443856042417586,0.7543841361697577,0.009998531927999127
2,0.7473728054870724,0.7574114612794456,0.010038655792373227
3,0.7500482357567122,0.7601228277289628,0.010074591972250559
4,0.7522084715193148,0.7623120796172418,0.010103608097926965
5,0.7539543122867632,0.7640813703876927,0.010127058100929532
6,0.7554407068901164,0.7655877301325191,0.010147023242402641
7,0.7567043829526904,0.7668683797977343,0.010163996845043927
8,0.7575344749680624,0.7677096215471575,0.010175146579095176
9,0.7576806084479218,0.7678577178810214,0.010177109433099605
10,0.7569750606697645,0.76714269323772,0.01016763256795547
11,0.7551031697746655,0.7652456592437032,0.010142489469037749
12,0.7517319259468072,0.7618291331201398,0.010097207173332626
13,0.746887909396389,0.7569200521006305,0.01003214270424144
14,0.7414558953366622,0.7514150756331139,0.009959180296451674
15,0.7363843070390118,0.7462753661396333,0.009891059100621487
16,0.7321546091840148,0.7419888552984527,0.009834246114437995
17,0.728888478261495,0.7386788539489343,0.009790375687439205
18,0.7266104025249118,0.7363701792689313,0.009759776744019512
19,0.7252334042754929,0.7349746852817077,0.009741281006214858
20,0.7242765551450231,0.7340049838250688,0.009728428680045781
21,0.7232392113591797,0.7329537065148478,0.009714495155668142
22,0.7219900016243521,0.7316877174880145,0.009697715863662403
23,0.721148407086097,0.7308348187146785,0.009686411628581519
24,0.7214449627997046,0.7311353577425174,0.0096903949428128
25,0.7230442662436337,0.7327561429110467,0.009711876667413013
26,0.7250396815658525,0.7347783605030772,0.0097386789372247
27,0.7264053331485341,0.736162355415982,0.009757022267447847
28,0.7267105045038187,0.7364716258101544,0.009761121306335673
29,0.7262509988256273,0.7360059480859584,0.009754949260331137
30,0.7254481301071205,0.7351922952946939,0.009744165187573366
31,0.7245129601895587,0.7342445642445341,0.009731604054975468
32,0.7234847426814623,0.7332025357955423,0.009717793114079989
33,0.7223521353334226,0.7320547153500612,0.009702580016638646
34,0.7211928945647095,0.7308799037457864,0.009687009181076851
35,0.7204109112876853,0.730087416927697,0.009676505640011664
36,0.7204345802096586,0.7301114037688652,0.009676823559206637
37,0.7214470723184611,0.7311374955961725,0.009690423277711432
38,0.7233786545569505,0.7330950227032529,0.009716368146302444
39,0.7261259144035431,0.7358791835392443,0.009753269135701138
40,0.7295476374389107,0.739346866903268,0.009799229464357335
41,0.7332250572216561,0.7430736815143133,0.00984862429265723
42,0.7367427910096259,0.7466386652402088,0.009895874230582942
43,0.7398992897388509,0.7498375618249875,0.009938272086136575
44,0.7427073834625623,0.7526833736541987,0.0099759901916364
45,0.7452314707773183,0.7552413643215475,0.010009893544229246
46,0.7474596962306586,0.7574995191330203,0.01003982290236171
47,0.7491495744124883,0.7592120956325756,0.010062521220087325
48,0.7500270814843559,0.7601013893139976,0.010074307829641724
49,0.7499425963023142,0.7600157693332907,0.010073173030976525
50,0.7487306903261263,0.7587875851264014,0.010056894800275126
51,0.746218975217546,0.7562421328477791,0.01002315763023305
52,0.7424420293265573,0.7524144553012262,0.009972425974668806
53,0.7379253398151121,0.7478370979530687,0.009911758137956615
54,0.7332159101106264,0.7430644115399704,0.009848501429343971
55,0.7286259475763578,0.7384127969712109,0.009786849394853121
56,0.7243696986647069,0.7340993784415635,0.009729679776856544
57,0.7206022220662167,0.7302812973783397,0.009679075312123022
58,0.7174342756589699,0.7270707993511817,0.009636523692211844
59,0.7150683375832659,0.7246730821716708,0.0096047445884049
60,0.7137121022606214,0.7232986299973059,0.009586527736684407
61,0.7134274447042847,0.723010148941899,0.009582704237614353
62,0.7140960640696482,0.7236877491527197,0.009591685083071561
63,0.7155964729759171,0.7252083114395335,0.009611838463616401
64,0.717762990289606,0.7274039292522246,0.00964093896261859
65,0.7201061253198501,0.7297785370974694,0.009672411777619322
66,0.7221405986818551,0.731840337353964,0.009699738672108892
67,0.7236301711067114,0.7333499176045548,0.009719746497843464
68,0.7245681467911413,0.7343004921084341,0.009732345317292711
69,0.7250020243803107,0.7347401975090273,0.009738173128716566
70,0.7249425023002347,0.7346798759328103,0.009737373632575493
71,0.7242922485569296,0.7340208880297139,0.009728639472784266
72,0.7229289564600485,0.732639284295047,0.009710327834998445
73,0.7208075071989126,0.73048933988563,0.009681832686717462
74,0.717931026818142,0.7275742228348816,0.00964319601673955
75,0.7142928785552962,0.7238872072358628,0.009594328680566505
76,0.7099106387637946,0.7194461055262613,0.0095354667624668
77,0.7048287807408176,0.7142959883652694,0.00946720762445183
78,0.6990703452637334,0.7084602060122585,0.009389860748525077
79,0.6928314851403803,0.7021375459849548,0.00930606084457448
80,0.6870329263604585,0.6962611013958945,0.00922817503543597
81,0.6826414036457515,0.6918105920755555,0.009169188429803991
82,0.6799924590499474,0.68912606705347,0.009133608003522605
83,0.6784683135616479,0.6875814493566259,0.009113135794977948
84,0.6773251781612949,0.6864229594468179,0.009097781285523002
85,0.6761744873819178,0.6852568126746982,0.009082325292780403
86,0.6748926206415289,0.6839577279958401,0.009065107354311168
87,0.6734434909990398,0.6824891337520533,0.009045642753013571
88,0.6717705528844663,0.6807937248574745,0.009023171973008136
89,0.6696991283592444,0.6786944771124941,0.008995348753249649
90,0.6670500075321945,0.6760097734920377,0.008959765959843312
91,0.6638424748380094,0.6727591574578873,0.008916682619877894
92,0.6605868099048529,0.6694597626761206,0.008872952771267791
93,0.6578381709959307,0.6666742042543374,0.00883603325840672
94,0.6557605587357196,0.6645686856611729,0.008808126925453274
95,0.6538203452987785,0.6626024114220268,0.008782066123248281
96,0.6513887137888454,0.660138118418977,0.008749404630131472
97,0.6482272406575458,0.6569341806163259,0.00870693995878011
98,0.6446445534968717,0.6533033710688674,0.008658817571995749
99,0.6410305605383981,0.6496408352264679,0.00861027468806979
100,0.6375514373232348,0.6461149806877137,0.008563543364478858
101,0.6341035151009761,0.6426207462312741,0.00851723113029799
102,0.6305315435842707,0.639000796259515,0.008469252675244359
103,0.626820342120509,0.6352397462144331,0.008419404093924122
104,0.6232597268355813,0.6316313050105102,0.008371578174928907
105,0.6201735059345681,0.6285036302204914,0.00833012428592326
106,0.617668807245199,0.6259652886050998,0.008296481359900822
107,0.6155204056295891,0.6237880298191935,0.008267624189604358
108,0.6134612687541066,0.6217012347707475,0.008239966016640891
109,0.6113245513326498,0.6195358171202189,0.008211265787569014
110,0.608916814529885,0.6170957397762621,0.00817892524637708
111,0.6060630962902276,0.6142036906060089,0.008140594315781248
112,0.6027373880112,0.6108333116613724,0.008095923650172475
113,0.5992339893243805,0.607282855584637,0.008048866260256457
114,0.5958814224578587,0.603885257289962,0.008003834832103282
115,0.5928612282562077,0.6008244960650077,0.007963267808799915
116,0.5902963584784151,0.5982251751476197,0.007928816669204678
117,0.5882844807441331,0.5961862740216348,0.007901793277501743
118,0.5868409721346435,0.5947233763121437,0.00788240417750024
119,0.5858250543055459,0.5936938127505218,0.007868758444975895
120,0.5850867739537003,0.5929456158720432,0.007858841918342819
121,0.584546191617838,0.5923977724745563,0.007851580856718263
122,0.5841983615560146,0.5920452703852798,0.007846908829265229
123,0.5840657359203016,0.5919108633319178,0.00784512741161611
124,0.5841084329961586,0.5919541339117137,0.007845700915555138
125,0.5840859846450441,0.5919313840360211,0.007845399390976922
126,0.5837461299603363,0.5915869644485309,0.007840834488194589
127,0.582984464494545,0.5908150683489998,0.0078306038544548
128,0.5818724306087028,0.5896880977069263,0.007815667098223551
129,0.5805087898397812,0.588306140616882,0.0077973507771008825
130,0.5789403904905668,0.5867166746445631,0.007776284153996387
131,0.577143862350007,0.5848960156719849,0.007752153321977904
132,0.5750754563642451,0.5827998270112614,0.007724370647016354
133,0.5727396075436854,0.5804326032435261,0.007692995699840777
134,0.5702414948840983,0.5779009361209775,0.007659441236879254
135,0.5676892689955092,0.5753144289245702,0.007625159929060954
136,0.5651218395522128,0.5727125139604424,0.00759067440822954
137,0.5624609164281109,0.5700158495153602,0.0075549330872492874
138,0.5596064231087293,0.5671230148545697,0.007516591745840395
139,0.5564781338104873,0.5639527066077474,0.007474572797260174
140,0.5528885482669138,0.5603149060188249,0.007426357751911115
141,0.5486400628810552,0.5560093552940693,0.00736929241301406
142,0.5437385355628781,0.551041991026457,0.007303455463578862
143,0.5386772033478112,0.5459126753744964,0.007235472026685151
144,0.5339923301759132,0.5411648753355003,0.0071725451595870664
145,0.5299190779770658,0.5370369115168568,0.007117833539790962
146,0.526345309881807,0.5334151408350353,0.007069830953228173
147,0.5230958859150252,0.5301220708478382,0.00702618493281303
148,0.5200208108841208,0.5270056916384244,0.006984880754303548
149,0.5167847016606854,0.5237261152372135,0.006941413576528166
150,0.5130524776601887,0.5199437602822509,0.006891282622062137
151,0.5087574688122904,0.5155910611957826,0.006833592383492179
152,0.5043924097793591,0.5111673710154195,0.006774961236060437
153,0.5005176005157166,0.5072405156026889,0.006722915086972291
154,0.4973403766756332,0.5040206155289082,0.006680238853275063
155,0.49455510105681993,0.5011979282956787,0.006642827238858702
156,0.4917810923880292,0.4983866593493041,0.006605566961274879
157,0.48886859867258886,0.49543504523546,0.006566446562871165
158,0.48598826260278616,0.49251602070635186,0.006527758103565688
159,0.48336658533349786,0.48985912926347863,0.006492543929980763
160,0.4811325090447143,0.4875950450285772,0.006462535983862915
161,0.479427104955725,0.4858667340790351,0.006439629123310086
162,0.4783869677527047,0.4848126258306659,0.0064256580779612285
163,0.4780308727571455,0.48445174779368005,0.006420875036534566
164,0.4781507122783117,0.4845731969903582,0.006422484712046543
165,0.47852496334328837,0.4849524749677321,0.006427511624443738
166,0.4790712598114238,0.48550610924929066,0.006434849437866889
167,0.4799512088233529,0.486397877670731,0.006446668847378103
168,0.4813751676881641,0.487840963044831,0.006465795356666892
169,0.4833248982527464,0.48981688224496706,0.006491983992220678
170,0.4852155761480549,0.49173295558477914,0.006517379436724284
171,0.4864109333503636,0.4929443687358926,0.006533435385528964
172,0.48668369125022193,0.4932207902995225,0.006537099049300546
173,0.48641501004940313,0.4929485001928496,0.006533490143446468
174,0.4860722729963702,0.4926011595212779,0.006528886524907728
175,0.48584792379615793,0.4923737968793379,0.006525873083179998
176,0.4855630826068475,0.49208512972441304,0.006522047117565537
177,0.484969546068015,0.49148362084705044,0.006514074779035433
178,0.4839514135147562,0.4904518128132575,0.006500399298501305
179,0.4824846718746792,0.4889653700088446,0.0064806981341654175
180,0.48055857375174726,0.4870134006795529,0.0064548269278056295
181,0.47819690378486746,0.4846200089377856,0.00642310515291814
182,0.47552726870136114,0.48191451551490994,0.006387246813548811
183,0.4726754824125993,0.47902442424537267,0.006348941832773344
184,0.4697262858174209,0.47603561426144675,0.0063093284440258884
185,0.4667832195085939,0.4730530169054215,0.006269797396827577
186,0.4639355093766237,0.47016705654330987,0.006231547166686179
187,0.4612425131486383,0.4674378881908045,0.006195375042166226
188,0.4587881887601323,0.4649505975001289,0.006162408739996611
189,0.4566530279094998,0.46278675732816776,0.006133729418667973
190,0.45481406941325386,0.46092309807852977,0.006109028665275906
191,0.4529659660212042,0.45905017109952956,0.006084205078325331
192,0.4507785783005571,0.4568334025501303,0.006054824249573167
193,0.44818337718666806,0.4542033428884013,0.006019965701733261
194,0.4456479592223341,0.45163386937903427,0.005985910156700202
195,0.4437071239707457,0.4496669649730729,0.005959841002327235
196,0.44258938299060985,0.4485342105794409,0.005944827588831007
197,0.4421801659044571,0.4481194969199018,0.005939331015444759
198,0.4423116422643734,0.4482527392604805,0.0059410969961070795
199,0.4427955082540953,0.44874310450209487,0.005947596247999565
200,0.4430915918039201,0.4490431650240822,0.005951573220162123
201,0.44265061127685945,0.4485962612794656,0.0059456500026061725
202,0.44134476061099553,0.44727287052483394,0.005928109913838418
